college_name,url,college_city,enrollment,tuition
Academy for Jewish Religion California,https://www.free-4u.com/Colleges/Academy-for-Jewish-Religion-California.html,Los Angeles,74,
Academy of Art University,https://www.free-4u.com/Colleges/Academy-of-Art-University.html,San Francisco,"18,535","$38,806.00"
Academy of Chinese Culture and Health Sciences,https://www.free-4u.com/Colleges/Academy-of-Chinese-Culture-and-Health-Sciences.html,Oakland,149,
Academy of Couture Art,https://www.free-4u.com/Colleges/Academy-of-Couture-Art.html,Beverly Hills,32,"$24,738.00"
Acupuncture and Integrative Medicine College Berkeley,https://www.free-4u.com/Colleges/Acupuncture-and-Integrative-Medicine-College-Berkeley.html,Berkeley,161,
Alliant International University San Diego,https://www.free-4u.com/Colleges/Alliant-International-University-San-Diego.html,San Diego,"4,986","$31,522.00"
Allied American University,https://www.free-4u.com/Colleges/Allied-American-University.html,Laguna Hills,"3,787",
American Baptist Seminary of the West,https://www.free-4u.com/Colleges/American-Baptist-Seminary-of-the-West.html,Berkeley,79,
American College of Traditional Chinese Medicine,https://www.free-4u.com/Colleges/American-College-of-Traditional-Chinese-Medicine.html,San Francisco,277,
American Conservatory Theater,https://www.free-4u.com/Colleges/American-Conservatory-Theater.html,San Francisco,114,"$26,201.00"
American Film Institute Conservatory,https://www.free-4u.com/Colleges/American-Film-Institute-Conservatory.html,Los Angeles,371,
American Jewish University,https://www.free-4u.com/Colleges/American-Jewish-University.html,Los Angeles,212,"$49,121.00"
American University of Health Sciences,https://www.free-4u.com/Colleges/American-University-of-Health-Sciences.html,Signal Hill,358,"$24,662.00"
Angeles College,https://www.free-4u.com/Colleges/Angeles-College.html,Los Angeles,229,
Antioch University Los Angeles,https://www.free-4u.com/Colleges/Antioch-University-Los-Angeles.html,Culver City,"1,436","$26,756.00"
Antioch University Santa Barbara,https://www.free-4u.com/Colleges/Antioch-University-Santa-Barbara.html,Santa Barbara,632,"$17,416.00"
Argosy University Inland Empire,https://www.free-4u.com/Colleges/Argosy-University-Inland-Empire.html,Ontario,993,"$14,663.00"
Argosy University Los Angeles,https://www.free-4u.com/Colleges/Argosy-University-Los-Angeles.html,Los Angeles,859,"$14,663.00"
Argosy University Orange County,https://www.free-4u.com/Colleges/Argosy-University-Orange-County.html,Orange,842,"$14,663.00"
Argosy University San Diego,https://www.free-4u.com/Colleges/Argosy-University-San-Diego.html,San Diego,636,"$14,663.00"
Argosy University San Francisco Bay Area,https://www.free-4u.com/Colleges/Argosy-University-San-Francisco-Bay-Area.html,Alameda,547,"$14,663.00"
Art Center College of Design,https://www.free-4u.com/Colleges/Art-Center-College-of-Design.html,Pasadena,"2,721","$41,830.00"
Ashford University,https://www.free-4u.com/Colleges/Ashford-University.html,San Diego,"107,170","$21,887.00"
Azusa Pacific University,https://www.free-4u.com/Colleges/Azusa-Pacific-University.html,Azusa,"10,686","$46,992.00"
Azusa Pacific University College,https://www.free-4u.com/Colleges/Azusa-Pacific-University-College.html,Glendora,"1,815","$12,308.00"
Bergin University of Canine Studies,https://www.free-4u.com/Colleges/Bergin-University-of-Canine-Studies.html,Rohnert Park,71,"$9,875.00"
Bethel Seminary San Diego,https://www.free-4u.com/Colleges/Bethel-Seminary-San-Diego.html,San Diego,199,
Bethesda University,https://www.free-4u.com/Colleges/Bethesda-University.html,Anaheim,399,"$10,320.00"
Biola University,https://www.free-4u.com/Colleges/Biola-University.html,La Mirada,"6,738","$48,174.00"
Brandman University,https://www.free-4u.com/Colleges/Brandman-University.html,Irvine,"11,999","$13,952.00"
Bristol University,https://www.free-4u.com/Colleges/Bristol-University.html,Anaheim,362,
Brooks Institute,https://www.free-4u.com/Colleges/Brooks-Institute.html,Ventura,598,"$22,545.00"
Bryan University,https://www.free-4u.com/Colleges/Bryan-University.html,Los Angeles,"2,366","$11,206.00"
California Baptist University,https://www.free-4u.com/Colleges/California-Baptist-University.html,Riverside,"9,278","$43,324.00"
California Christian College,https://www.free-4u.com/Colleges/California-Christian-College.html,Fresno,24,"$17,914.00"
California College San Diego,https://www.free-4u.com/Colleges/California-College-San-Diego.html,San Diego,,
California College San Diego,https://www.free-4u.com/Colleges/California-College-San-Diego.html,,,
California College San Diego,https://www.free-4u.com/Colleges/California-College-San-Diego.html,San Marcos,533,"$18,021.00"
California College San Diego,https://www.free-4u.com/Colleges/California-College-San-Diego.html,San Diego,"1,211","$18,021.00"
California College of the Arts,https://www.free-4u.com/Colleges/California-College-of-the-Arts.html,San Francisco,"2,146","$58,142.00"
California Institute of Integral Studies,https://www.free-4u.com/Colleges/California-Institute-of-Integral-Studies.html,San Francisco,"1,398","$27,165.00"
California Institute of Technology,https://www.free-4u.com/Colleges/California-Institute-of-Technology.html,Pasadena,"2,319","$60,990.00"
California Institute of the Arts,https://www.free-4u.com/Colleges/California-Institute-of-the-Arts.html,Valencia,"1,549","$62,369.00"
California International Business University,https://www.free-4u.com/Colleges/California-International-Business-University.html,San Diego,39,"$4,500.00"
California Lutheran University,https://www.free-4u.com/Colleges/California-Lutheran-University.html,Thousand Oaks,"4,928","$54,545.00"
California Miramar University,https://www.free-4u.com/Colleges/California-Miramar-University.html,San Diego,403,"$9,796.00"
California Polytechnic State University San Luis Obispo,https://www.free-4u.com/Colleges/California-Polytechnic-State-University-San-Luis-Obispo.html,San Luis Obispo,"20,916","$24,683.00"
California State Polytechnic University Pomona,https://www.free-4u.com/Colleges/California-State-Polytechnic-University-Pomona.html,Pomona,"25,000","$23,953.00"
California State University Bakersfield,https://www.free-4u.com/Colleges/California-State-University-Bakersfield.html,Bakersfield,"10,319","$22,299.00"
California State University Channel Islands,https://www.free-4u.com/Colleges/California-State-University-Channel-Islands.html,Camarillo,"6,350","$25,273.00"
California State University Chico,https://www.free-4u.com/Colleges/California-State-University-Chico.html,Chico,"18,410","$22,414.00"
California State University Dominguez Hills,https://www.free-4u.com/Colleges/California-State-University-Dominguez-Hills.html,Carson,"15,346","$22,472.00"
California State University East Bay,https://www.free-4u.com/Colleges/California-State-University-East-Bay.html,Hayward,"16,816","$22,830.00"
California State University Fresno,https://www.free-4u.com/Colleges/California-State-University-Fresno.html,Fresno,"24,890","$20,930.00"
California State University Fullerton,https://www.free-4u.com/Colleges/California-State-University-Fullerton.html,Fullerton,"41,494","$24,385.00"
California State University Long Beach,https://www.free-4u.com/Colleges/California-State-University-Long-Beach.html,Long Beach,"39,242","$22,724.00"
California State University Los Angeles,https://www.free-4u.com/Colleges/California-State-University-Los-Angeles.html,Los Angeles,"27,500","$23,538.00"
California State University Monterey Bay,https://www.free-4u.com/Colleges/California-State-University-Monterey-Bay.html,Seaside,"7,185","$19,628.00"
California State University Northridge,https://www.free-4u.com/Colleges/California-State-University-Northridge.html,Northridge,"42,183","$22,110.00"
California State University Sacramento,https://www.free-4u.com/Colleges/California-State-University-Sacramento.html,Sacramento,"32,021","$23,324.00"
California State University San Bernardino,https://www.free-4u.com/Colleges/California-State-University-San-Bernardino.html,San Bernardino,"20,356","$20,404.00"
California State University San Marcos,https://www.free-4u.com/Colleges/California-State-University-San-Marcos.html,San Marcos,"12,524","$24,000.00"
California State University Stanislaus,https://www.free-4u.com/Colleges/California-State-University-Stanislaus.html,Turlock,"9,760","$19,961.00"
California University of Management and Sciences,https://www.free-4u.com/Colleges/California-University-of-Management-and-Sciences.html,Anaheim,561,"$9,930.00"
California Western School of Law,https://www.free-4u.com/Colleges/California-Western-School-of-Law.html,San Diego,881,
Chapman University,https://www.free-4u.com/Colleges/Chapman-University.html,Orange,"8,815","$61,847.00"
Charles R Drew University of Medicine and Science,https://www.free-4u.com/Colleges/Charles-R-Drew-University-of-Medicine-and-Science.html,Los Angeles,717,"$13,252.00"
Charter College Canyon Country,https://www.free-4u.com/Colleges/Charter-College-Canyon-Country.html,Canyon Country,"1,556","$19,195.00"
Church Divinity School of the Pacific,https://www.free-4u.com/Colleges/Church-Divinity-School-of-the-Pacific.html,Berkeley,74,
Claremont Graduate University,https://www.free-4u.com/Colleges/Claremont-Graduate-University.html,Claremont,"2,368",
